label,text
ENTP 发明者小组,"禁止广告~
就是个灌水的群，欢迎在这里释放自我
广告太多了，私信微信id， 拉你入群"
ENTP 发明者小组,加的时候自己留言是entp哦~
ENTP 发明者小组,现在是个热火朝天的讨论组啦
ENTP 发明者小组,送上去
ENTP 发明者小组,还有吗还有吗
ENTP 发明者小组,已更新二维码
ENTP 发明者小组,还有哦
ENTP 发明者小组,又过期了。。。
ENTP 发明者小组,过期了
ENTP 发明者小组,过期了过期了
ENTP 发明者小组,想加
ENTP 发明者小组,更新了
ENTP 发明者小组,更新了
ENTP 发明者小组,更新了
ENTP 发明者小组,更新了
ENTP 发明者小组,在哪呀
ENTP 发明者小组,直接扫码啊 更新了码
ENTP 发明者小组,又过期啦，更下下好不哈哈
ENTP 发明者小组,广告太多了 那么私信微信号 拉你入群
ENTP 发明者小组,加我
ENTP 发明者小组,私信
ENTP 发明者小组,想加群！
ENTP 发明者小组,还有没
ENTP 发明者小组,有吗？
ENTP 发明者小组,entp，拉一下~
ENTP 发明者小组,求群号。
ENTP 发明者小组,求进群
ENTP 发明者小组,dd
ENTP 发明者小组,dd
ENTP 发明者小组,早过期了
ENTP 发明者小组,cutetoni
ENTP 发明者小组,拉我
ENTP 发明者小组,15660935557entp女
ENTP 发明者小组,ENTP求拉群
ENTP 发明者小组,滴滴滴
ENTP 发明者小组,我也在线等拉群哦
ENTP 发明者小组,等拉群 lzhdeep
ENTP 发明者小组,我我我
ENTP 发明者小组,entp微信群，加微信z1508998399
ENTP 发明者小组,entp
ENTP 发明者小组,私
ENTP 发明者小组,想加群！
ENTP 发明者小组,想找到组织（举手）
ENTP 发明者小组,oliviakoala
ENTP 发明者小组,求拉
ENTP 发明者小组,这里
ENTP 发明者小组,已私信楼主！求拉群！
ENTP 发明者小组,entp wx597904616 求拉
ENTP 发明者小组,infj可以吗...lienhan2017
ENTP 发明者小组,想入这个群，entp女太难了
ENTP 发明者小组,JINytbt
ENTP 发明者小组,tick-tok2
ENTP 发明者小组,dd
ENTP 发明者小组,infj女可以加入你们的队伍吗😊
ENTP 发明者小组,求拉群。entp女 852306501
ENTP 发明者小组,估计散了吧
ENTP 发明者小组,求拉，wechat：joysmelling
ENTP 发明者小组,想加
ENTP 发明者小组,已私，想入群(◦˙▽˙◦)
