label,text
INFP的淡色彼岸小组,"这个世界上没有适合INFP的工作，适合自己的职业太穷困或者需要从小练习起已经错过机会，而主流的职业自己性格不适合，不Push一下不能主动去做，这是一种不可调和的矛盾。

这说明适合INFP的事情不是“工作”

工作就用来生存，为了社会地位，为了底层需求。就Push自己一下，没有别人做的好也没有关系，并不是因为自己努力比别人少，只不过别人生来性格就更合适。在工作上，尽量做到自己的最好，但是不以结果评价自己。那么，就不要再为工作不开心而难过。

而用业余时间来完成成就动机，不把它作为盈利、支撑生活的手段。想要写书的，用业余时间写吧；想要慈善的，用业余时间好好做；想要建立NGO组织的，用业余时间运作！etc...只管去做。

INFP，做业余的王者！"
INFP的淡色彼岸小组,爱好广泛，全面平庸 ——就是啊，我就是平庸怎么了，我就是喜欢各种各样的愛好啊，如果要我在一个专业里深入到死想想就受不了。能广泛学和做许多东西真是太开心了啊，干吗非要在每一个上都做到顶尖呢？我真的需要死后的世界有名这样的称号么？
INFP的淡色彼岸小组,"看到大家的回复，真的是感同身受，INFPer都是有心无力那种，想做但是却被诸多障碍吓得不敢逾越半步，我有一份大家都觉得很好的工作，但是我自己觉得一点都不爽，不喜欢的工作加在自己身上真的是痛不欲生，自己很想学其他人一样随波逐流，老老实实就这样一辈子过去，可惜INFP就是INFP，没办法违背自己，所以很想积极找到人生方向，却没有人能理解，面对物欲横流的社会，大家的价值观都在奋斗物质上，而我只是纠结在跟物质利益没有任何关系的事情身上，连自己都觉这是浪费时间，毫无意义；但我还是忍不住去做这些被人为无聊又没意义的事，最起码还能找到一些寄托感，要不然自己没有任何精神寄托的话，可能自己会疯掉。可是总是觉得找到自己合适的方向才是最终出路，要不然我觉得自己会困死其中，自己点子多，想法也多，但只能在特定环境发挥，很希望能冲破笼牢登上光明大道，
我不怕工作本身的累和苦，就怕工种不对导致的累和苦，每天混混噩噩的工作，行尸走肉般的思想，连斗志都被抹平，想想这才是最可怕的事。"
INFP的淡色彼岸小组,"过度内敛是否也造成了INFP过度内向和自卑的倾向？
就我个人来说，不能说自卑但也可以说自谦了很久，最近反思自己，发现自己想做的事情就算做不到顶点，但也绝对是中上水平。而过度的自我收敛导致自己自信心不足，总是觉得自己做的不够好，我想这也是性格导致的。
我可以肯定的说，没有一种性格可以完全适应现在的社会节奏以及分工细化的，每个人都在自己内部进行微调来适应。而INFP的优势就在于平衡，可以很快的调节自己适应各种环境，这在其他性格是很难的。
当初读韦尔奇的赢，就记住一句话，永远不要成为受害者
我们INFP的自省应该更加的客观些，给自己更多的肯定和信心，这样我们的优势才能发挥出来。
不足？我们有吗？"
INFP的淡色彼岸小组,"国内适合INFP 的工作确实不多，而且大部分人在意识到的时候已经错过选择的最佳时机了。

INFP 对工作的要求很高，希望不仅仅是工作，而是当成一项神圣的事业。所以遇到不合意的工作会很痛苦。但是有时候对现实妥协一点可能会好过一点。

一年前我觉得如果我找不到喜欢的工作，至少也要一个清闲的工作。现在貌似是比较清闲了。不过目前这工作也太没前途了 囧……"
INFP的淡色彼岸小组,INFP 应该都有自己的使命的。那是来自于内心深处的召唤，旁人不一定能了解。但是执行力不强是个问题。如果有个搭档是执行力强的那种应该会成就大事业吧。
INFP的淡色彼岸小组,汗，我就是投太多精力在业余时间做那种自觉很有意思但毫无物质利益可言又会严重影响当前需注意的主要事物的业余兴趣上，正宗不务正业。
INFP的淡色彼岸小组,"这个世界上没有适合INFP的工作。
有道理呀。
可是其他性格类型的人就有完美的工作等着他们么？
工作不是人生的意义所在。"
INFP的淡色彼岸小组,"国内适合INFP 的工作确实不多，而且大部分人在意识到的时候已经错过选择的最佳时机了。

INFP 对工作的要求很高，希望不仅仅是工作，而是当成一项神圣的事业。所以遇到不合意的工作会很痛苦。但是有时候对现实妥协一点可能会好过一点。

一年前我觉得如果我找不到喜欢的工作，至少也要一个清闲的工作。现在貌似是比较清闲了。不过目前这工作也太没前途了 囧……"
INFP的淡色彼岸小组,回复schatz：其他人格的工作也不一定是完美的，但是他们对社会的适应性比INFP好多了。比如ESTJ做销售/律师，ISTP做财务，ENTJ创业，ENTJ做企业管理，ISFP做艺术家……都是不错的。
INFP的淡色彼岸小组,嗯，做个价值投资者吧。
