label,text
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"人渐渐多一些啦～

让我们互相认识一下吧～

我先来 :P

出生时间：1980
现在地点：北京
平时爱好：看书、听歌、摄影
现在的工作：IT …… 网络安全
宠物：猫 x 2 仓鼠 x 5

呵呵～～～"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"最近虽然在尽力的社交，希望能把圈子稍微扩大一点，稍微稳固深入一点~~~
可是。。。。怎么感觉~~~有点。。。

并不吃力，只是觉得，自己怎么内心越来越冷漠了一般，对什么都没有什么兴趣，只有一个人呆着才特别舒服~~~~"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,不过是一群自我的神经病在孤芳自赏
INTJ (Introverted.Intuitive.Thinking.Judging)小组,每个帖子都有历史的沧桑感。。看到09年留言84 88的同学。。如今16年留言的是95 97年的孩子们。。这真是。。
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"1978
　　地点：深圳
　　星座：天蝎
　　职业：自由职业，呆在家里做电子系统设计，硬件，软件通杀的。
 主要方向：单片机应用，工业控制类，消费电子类。
　 特别爱好：读科幻作品，研究宗教理论，目前对西藏密宗有兴趣，
　 性格：完美主义者"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"从十年前通过MBTI测出INTJ型到现在复测还是INTJ型
出生：1993
现居：成都
爱好：马拉松、羽毛球、游戏、读书、电影
工作：从毕业到现在一直从事互联网产品
规划：35以后可能转型做律师吧~
完美主义者 希望可以认识志趣相投的朋友~"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间:1977
地点：重庆
星座:处女座(更加符合intj）
平时爱好：读书、音乐、花样滑冰、旅游
工作：战略管理、市场/销售管理、产品线规划"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间:1980 
地点：北京
星座:双子座 
平时爱好：读书、音乐、上网找各种稀奇古怪的东西，琢磨人 
工作：自由职业（主要做UI，也写程序，还有一些网站相关的分析工作）
宠物：狗x1"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间：1985 
　　地点：山东枣庄 
　　星座：射手座 
　　平时爱好：小说音乐动画电影知识成长励志散步内省 
　　工作：汽车制造厂检验员（在芜湖）

不明白为什么开两个认识贴"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间：1981 
　　　　地点：湖南长沙
　　　　星座：巨蟹
　　　　曾经爱好：小说\音乐\动画\电影\知识\成长\励志\运动\反省\动物
 现在爱好: 散步\ 洗澡\睡觉\说话......
　　　　工作：策划,想去再读点书~~~或者旅行，反正想不干~但是时候总不到 
　　 
　　

很高兴发现自己只属于1%,难怪平时总被当怪人~~总不被理解~~这下了了，正常啊"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"楼上的说话，让人冒汗啊~~
我也是前几天受了打击,无所事事在去年常逛的BBS里看到有人呼唤要大家来DOUBAN~~
 
那天的打击是,你才20吧....我很郁闷，对方说,你显得好童真啊....更郁闷了~~

PS:那个常去的，貌似也是86~90后~~~

不知道其他人来DOUBAN是为了什么~~"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"决定对DOUBAN有兴趣也是因为电影音乐书~~决定加是发现还可以加小组，还可以看同城活动~~
还可以拉身在外地的朋友一起上，这样大家还能活在一个空间里呵呵~~~


以前的BBS也开了一个专门给无聊乱说话的人专区~~~看过几次，恶心就出来了~"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"雅牧
出生时间：1990
现在地点：温州
平生爱好：科学、哲学、艺术
现在的工作：学生"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间：1985
现在地点：苏州 
平生爱好：看书，看电影 
现在的工作：学生"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间:1985　　地点：广东
　　星座:摩羯 
　　平时爱好：读书、音乐、思考、电影
　　工作：暂无"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间：1987 
星座:人马 
现在地点：成都 
平时爱好：书、音乐、电影、一个人玩 
现在的工作：学生 

不知道INTJ的人是不是更倾向一个人呆着.."
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"不知道INTJ的人是不是更倾向一个人呆着..
----至少我是"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,握爪
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"最近虽然在尽力的社交，希望能把圈子稍微扩大一点，稍微稳固深入一点~~~
可是。。。。怎么感觉~~~有点。。。

并不吃力，只是觉得，自己怎么内心越来越冷漠了一般，对什么都没有什么兴趣，只有一个人呆着才特别舒服~~~~"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间：1985 
星座:天平 
现在地点：成都 
平时爱好：书、电影、研究古代礼仪
现在的工作：影视编辑"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"不知道INTJ的人是不是更倾向一个人呆着.. 
----------------------------------
我也喜欢一个人呆着。
现在有些不同，成了自闭同时又怕寂寞的矛盾体。"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"并不吃力，只是觉得，自己怎么内心越来越冷漠了一般，对什么都没有什么兴趣，只有一个人呆着才特别舒服~~~~
自闭同时又怕寂寞的矛盾体
——————————哈哈，同病相怜，让我们先做朋友吧"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"1984 
青岛 
白羊座 
爱好：科学、哲学、艺术
（呵呵，盗用雅牧的总结，准确又简练） 
学生"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,1982 处女座　北京　喜欢探索未知的事物
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生时间：1980
　　现在地点：广州（好可惜 只有我一个人）
　　平时爱好：看资料 整理理论 认识人
　　现在的工作：Marketing （幸好 这里不只是有做IT的）
 
没来这里好长一段时间了，想不到这个INTJ组发展了这么多人，我还以为INTJ在中国真的少得那么可怜，呵呵，希望大家多多交流，不一定有立刻实际的收获，但可能会有意想不到的收获，呵呵"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"1988 
金牛座

我喜欢相声（侯宝林的、德云社的）
喜欢bossa nova音乐
我学工业设计哦"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,呵呵，姐姐，我顶。
INTJ (Introverted.Intuitive.Thinking.Judging)小组,ＩＮＴＪ的人应该是理性的，理性的人对星座的这种没有证明力的东西，应该是持怀疑的态度，所以没有必要列出来？
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"出生1987
　星座:处女座 
　　血型：不知
　　平时爱好：看书、音乐、电影、旅游"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"2008-07-23 22:26:25 Bridezilla (南京)　　1988 
　　南京 
　　双子 
　　爱好：英文，爵士，美术，狂速浏览杂志，充当身边人的人生规划顾问，观赏路边的建筑，调戏家里的安哥拉猫。。。哎，一言难尽 
　　目前是：学生

握爪,哈哈,这些个我们都很类似"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"笔名：登骏爵士
地点：天津
星座：金牛
职业和规划：走南闯北，曾经游戏策划，现在企业策划、管理，
计划中远期成为内部投资者
特别爱好：玩战略桌上游戏和电子游戏，制造改造机械、工具、玩具。
有趣的intj童年经历：小时候，用筷子、汤勺、皮筋作了投石器，惹了一些祸。在初中贩卖答案和玩具，被数次请家长。"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"1986
双鱼.不相信星座,只是觉得谈论这个有助于活跃气氛.
上海
读研,希望能继续往上读
喜欢音乐.古典音乐菜鸟,只能听MOZART,呵呵
喜欢独处.因为与周围的人兴趣不同.觉得自己做事效率高
难跟上别人的节奏,别人也难跟上我的节奏"
INTJ (Introverted.Intuitive.Thinking.Judging)小组,"1990
山东
英语专业的死大学生

喜欢读冒险科幻类小说 看动画漫画美国电影 
对哲学 心理学 艺术 政治历史 自然科学感兴趣（现在正研究着后现代主义的书）


不想（花父母的钱）接着考研上学
为其他人只看你文凭只遵守社会上陈腐的规则愤愤不平
急切想做出大事业来证明自己的能力
正处于大学的痛苦和迷茫中……"
