label,text
INTP小组,"好久没有来这个小组了，本来以为没什么人气，但看到已经一万多组员了，最近看到一部特别好的纪录片，给大家推荐一下。

《出生在苏联》新浪微博@lenochka 翻译。
7岁上：
全民纪录之 讲述苏联20个80后成长经历

7岁下：


14岁上：

14岁下：


21岁第一部分：

21岁第二部分： http://my.tv.sohu.com/us/6041179/63114885.shtml
21岁第三部分： http://my.tv.sohu.com/us/6041179/63642054.shtml
21岁第四部分： http://video.sina.com.cn/m/slczj_63523639.html

28岁第一部分： http://my.tv.sohu.com/us/6041179/66252779.shtml
28岁第二部分： http://my.tv.sohu.com/us/6041179/69645569.shtml
28岁第三部分： http://my.tv.sohu.com/us/6041179/71746522.shtml
28岁第四部分： http://my.tv.sohu.com/us/6041179/73312016.shtml"
INTP小组,谢谢
INTP小组,导演拍到自己死么？今年76下一部还有两年。
INTP小组,纪录片《人生七年（7up）》系列 ，本片1964年开拍，连续49年记录14个人的一生。最全7up纪录片系列，英国篇：http://t.cn/8FyiIrj，前苏联篇：http://t.cn/8FyiIrY，南非篇：http://t.cn/8FyiIrQ，美国篇：http://t.cn/8FyiIr8
INTP小组,组长好啊
INTP小组,谢谢推荐
INTP小组,你好，谢谢！
INTP小组,导演拍到自己死么？今年76下一部还有两年。
INTP小组,b站英国片 全：http://www.bilibili.com/topic/432.html
INTP小组,你怎么在这凡人的节日出现了？我想怎么也得是圣诞日、佛诞日、复活节什么的日子诈尸才显得配得上老僵尸的身份……
INTP小组,女神节 不差吧 哈哈
INTP小组,给各位女神祝贺一下节日，哈哈！
INTP小组,不觉得 呵呵
INTP小组,女神们谢谢组长，我嘛就不敢当，我没历劫呢，女神实在说不出口
INTP小组,替，替女神们谢谢组长~
INTP小组,来，组长渡劫一下你，请当管理员。
INTP小组,谢谢组长关怀弱小，可我还有10万+大礼拜没做呢，再管理人间事物实在有些为难，不如组长问问已经渡劫了的组们好不好呢？
INTP小组,组长好
INTP小组,组长大人你还在！！简直太棒了！！！
INTP小组,似乎看过英国版的，还真不知道这么多版！！
INTP小组,宇宙时空之旅
INTP小组,宇宙的奇迹
INTP小组,大禹治水三过家门而不入，当年的小屁孩儿现在都会打酱油了~
INTP小组,看过英国版。。。好喜欢Bruce和Charles
INTP小组,我家娃也会打酱油了！
INTP小组,组长好(✪▽✪)
INTP小组,我自己喜欢和大脑，超能力，建筑学，符号学类的东西。
INTP小组,谢谢
INTP小组,很早以前看过的
